Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 23-Jan-2017 22:16:41
sat16


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
15 Mar 2012 00:00:00.000    -5894.584380    -3734.498869        0.000000 
15 Mar 2012 00:01:00.000    -5914.948000    -3674.904166     -448.415368 
15 Mar 2012 00:02:00.000    -5910.404387    -3599.834014     -894.942384 
15 Mar 2012 00:03:00.000    -5880.973039    -3509.603953    -1337.700647 
15 Mar 2012 00:04:00.000    -5826.778254    -3404.593365    -1774.825629 
15 Mar 2012 00:05:00.000    -5748.048601    -3285.243882    -2204.476522 
15 Mar 2012 00:06:00.000    -5645.115959    -3152.057522    -2624.843994 
15 Mar 2012 00:07:00.000    -5518.414119    -3005.594586    -3034.157809 
15 Mar 2012 00:08:00.000    -5368.476952    -2846.471292    -3430.694276 
15 Mar 2012 00:09:00.000    -5195.936162    -2675.357190    -3812.783514 
15 Mar 2012 00:10:00.000    -5001.518624    -2492.972340    -4178.816481 
15 Mar 2012 00:11:00.000    -4786.043322    -2300.084284    -4527.251752 
15 Mar 2012 00:12:00.000    -4550.417900    -2097.504815    -4856.622005 
15 Mar 2012 00:13:00.000    -4295.634836    -1886.086561    -5165.540209 
15 Mar 2012 00:14:00.000    -4022.767264    -1666.719397    -5452.705457 
15 Mar 2012 00:15:00.000    -3732.964454    -1440.326697    -5716.908448 
15 Mar 2012 00:16:00.000    -3427.446971    -1207.861449    -5957.036578 
15 Mar 2012 00:17:00.000    -3107.501531     -970.302246    -6172.078629 
15 Mar 2012 00:18:00.000    -2774.475589     -728.649160    -6361.129021 
15 Mar 2012 00:19:00.000    -2429.771659     -483.919539    -6523.391632 
15 Mar 2012 00:20:00.000    -2074.841406     -237.143720    -6658.183146 
15 Mar 2012 00:21:00.000    -1711.179538       10.639310    -6764.935935 
15 Mar 2012 00:22:00.000    -1340.317509      258.386283    -6843.200444 
15 Mar 2012 00:23:00.000     -963.817065      505.054050    -6892.647088 
15 Mar 2012 00:24:00.000     -583.263678      749.603965    -6913.067640 
15 Mar 2012 00:25:00.000     -200.259856      991.006267    -6904.376104 
15 Mar 2012 00:26:00.000      183.581593     1228.244408    -6866.609082 
15 Mar 2012 00:27:00.000      566.644359     1460.319339    -6799.925618 
15 Mar 2012 00:28:00.000      947.315437     1686.253717    -6704.606527 
15 Mar 2012 00:29:00.000     1323.991913     1905.096018    -6581.053213 
15 Mar 2012 00:30:00.000     1695.087721     2115.924545    -6429.785980 
15 Mar 2012 00:31:00.000     2059.040314     2317.851315    -6251.441840 
15 Mar 2012 00:32:00.000     2414.317249     2510.025789    -6046.771831 
