Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 23-Jan-2017 22:16:37
sat10


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
15 Mar 2012 00:00:00.000     5258.756106    -2126.982211    -4063.746757 
15 Mar 2012 00:01:00.000     5460.350441    -2289.815431    -3692.414544 
15 Mar 2012 00:02:00.000     5638.954089    -2443.001327    -3305.532954 
15 Mar 2012 00:03:00.000     5793.814683    -2585.895363    -2904.731211 
15 Mar 2012 00:04:00.000     5924.279825    -2717.896363    -2491.697157 
15 Mar 2012 00:05:00.000     6029.799841    -2838.449035    -2068.170149 
15 Mar 2012 00:06:00.000     6109.930088    -2947.046312    -1635.933729 
15 Mar 2012 00:07:00.000     6164.332835    -3043.231480    -1196.808118 
15 Mar 2012 00:08:00.000     6192.778681    -3126.600104     -752.642547 
15 Mar 2012 00:09:00.000     6195.147528    -3196.801724     -305.307472 
15 Mar 2012 00:10:00.000     6171.429082    -3253.541331      143.313303 
15 Mar 2012 00:11:00.000     6121.722903    -3296.580604      591.330563 
15 Mar 2012 00:12:00.000     6046.237982    -3325.738915     1036.857630 
15 Mar 2012 00:13:00.000     5945.291868    -3340.894083     1478.018315 
15 Mar 2012 00:14:00.000     5819.309327    -3341.982890     1912.954818 
15 Mar 2012 00:15:00.000     5668.820557    -3329.001338     2339.835547 
15 Mar 2012 00:16:00.000     5494.458959    -3302.004674     2756.862837 
15 Mar 2012 00:17:00.000     5296.958464    -3261.107143     3162.280514 
15 Mar 2012 00:18:00.000     5077.150452    -3206.481513     3554.381298 
15 Mar 2012 00:19:00.000     4835.960246    -3138.358343     3931.513986 
15 Mar 2012 00:20:00.000     4574.403222    -3057.025007     4292.090410 
15 Mar 2012 00:21:00.000     4293.580528    -2962.824487     4634.592120 
15 Mar 2012 00:22:00.000     3994.674455    -2856.153920     4957.576787 
15 Mar 2012 00:23:00.000     3678.943455    -2737.462931     5259.684265 
15 Mar 2012 00:24:00.000     3347.716843    -2607.251731     5539.642332 
15 Mar 2012 00:25:00.000     3002.389202    -2466.069016     5796.272035 
15 Mar 2012 00:26:00.000     2644.414510    -2314.509646     6028.492665 
15 Mar 2012 00:27:00.000     2275.300020    -2153.212148     6235.326301 
15 Mar 2012 00:28:00.000     1896.599911    -1982.856019     6415.901932 
15 Mar 2012 00:29:00.000     1509.908744    -1804.158867     6569.459124 
15 Mar 2012 00:30:00.000     1116.854751    -1617.873386     6695.351222 
15 Mar 2012 00:31:00.000      719.092978    -1424.784187     6793.048073 
15 Mar 2012 00:32:00.000      318.298314    -1225.704494     6862.138259 
15 Mar 2012 00:33:00.000      -83.841562    -1021.472717     6902.330831 
15 Mar 2012 00:34:00.000     -485.633283     -812.948921     6913.456529 
15 Mar 2012 00:35:00.000     -885.384928     -601.011207     6895.468503 
15 Mar 2012 00:36:00.000    -1281.413147     -386.552012     6848.442502 
15 Mar 2012 00:37:00.000    -1672.050248     -170.474351     6772.576561 
15 Mar 2012 00:38:00.000    -2055.651220       46.311986     6668.190165 
15 Mar 2012 00:39:00.000    -2430.600662      262.894260     6535.722901 
15 Mar 2012 00:40:00.000    -2795.319583      478.360634     6375.732612 
15 Mar 2012 00:41:00.000    -3148.272053      691.804004     6188.893044 
15 Mar 2012 00:42:00.000    -3487.971671      902.325822     5975.991009 
15 Mar 2012 00:43:00.000    -3812.987825     1109.039878     5737.923074 
15 Mar 2012 00:44:00.000    -4121.951716     1311.076031     5475.691783 
15 Mar 2012 00:45:00.000    -4413.562125     1507.583871     5190.401435 
15 Mar 2012 00:46:00.000    -4686.590889     1697.736297     4883.253436 
15 Mar 2012 00:47:00.000    -4939.888077     1880.733003     4555.541238 
15 Mar 2012 00:48:00.000    -5172.386833     2055.803842     4208.644892 
15 Mar 2012 00:49:00.000    -5383.107869     2222.212067     3844.025236 
15 Mar 2012 00:50:00.000    -5571.163588     2379.257436     3463.217745 
15 Mar 2012 00:51:00.000    -5735.761824     2526.279153     3067.826063 
15 Mar 2012 00:52:00.000    -5876.209181     2662.658652     2659.515252 
15 Mar 2012 00:53:00.000    -5991.913952     2787.822198     2240.004776 
15 Mar 2012 00:54:00.000    -6082.388611     2901.243303     1811.061263 
15 Mar 2012 00:55:00.000    -6147.251868     3002.444936     1374.491069 
15 Mar 2012 00:56:00.000    -6186.230277     3091.001533      932.132661 
15 Mar 2012 00:57:00.000    -6199.159388     3166.540787      485.848887 
15 Mar 2012 00:58:00.000    -6185.984440     3228.745210       37.519122 
15 Mar 2012 00:59:00.000    -6146.760596     3277.353470     -410.968643 
15 Mar 2012 01:00:00.000    -6081.652706     3312.161487     -857.725750 
15 Mar 2012 01:01:00.000    -5990.934620     3333.023294    -1300.870830 
