Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 23-Jan-2017 22:16:33
sat4


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
15 Mar 2012 00:00:00.000    -2327.383038      203.919127     6575.280374 
15 Mar 2012 00:01:00.000    -2694.998240      419.956048     6422.867601 
15 Mar 2012 00:02:00.000    -3051.269478      634.215843     6243.407054 
15 Mar 2012 00:03:00.000    -3394.696381      845.796515     6037.654474 
15 Mar 2012 00:04:00.000    -3723.832646     1053.807386     5806.476318 
15 Mar 2012 00:05:00.000    -4037.292129     1257.372845     5550.846117 
15 Mar 2012 00:06:00.000    -4333.754683     1455.636032     5271.840371 
15 Mar 2012 00:07:00.000    -4611.971721     1647.762448     4970.634022 
15 Mar 2012 00:08:00.000    -4870.771466     1832.943464     4648.495499 
15 Mar 2012 00:09:00.000    -5109.063895     2010.399728     4306.781382 
15 Mar 2012 00:10:00.000    -5325.845326     2179.384441     3946.930686 
15 Mar 2012 00:11:00.000    -5520.202645     2339.186506     3570.458803 
15 Mar 2012 00:12:00.000    -5691.317155     2489.133511     3178.951119 
15 Mar 2012 00:13:00.000    -5838.468022     2628.594567     2774.056339 
15 Mar 2012 00:14:00.000    -5961.035311     2756.982959     2357.479542 
15 Mar 2012 00:15:00.000    -6058.502602     2873.758613     1930.975004 
15 Mar 2012 00:16:00.000    -6130.459160     2978.430371     1496.338806 
15 Mar 2012 00:17:00.000    -6176.601672     3070.558052     1055.401275 
15 Mar 2012 00:18:00.000    -6196.735519     3149.754310      610.019271 
15 Mar 2012 00:19:00.000    -6190.775603     3215.686255      162.068375 
15 Mar 2012 00:20:00.000    -6158.746702     3268.076860     -286.565019 
15 Mar 2012 00:21:00.000    -6100.783371     3306.706116     -733.991640 
15 Mar 2012 00:22:00.000    -6017.129374     3331.411966    -1178.327298 
15 Mar 2012 00:23:00.000    -5908.136658     3342.090977    -1617.700823 
15 Mar 2012 00:24:00.000    -5774.263875     3338.698774    -2050.261938 
15 Mar 2012 00:25:00.000    -5616.074451     3321.250230    -2474.189057 
15 Mar 2012 00:26:00.000    -5434.234214     3289.819394    -2887.696950 
15 Mar 2012 00:27:00.000    -5229.508593     3244.539181    -3289.044267 
15 Mar 2012 00:28:00.000    -5002.759393     3185.600809    -3676.540867 
15 Mar 2012 00:29:00.000    -4754.941172     3113.252990    -4048.554937 
15 Mar 2012 00:30:00.000    -4487.097218     3027.800883    -4403.519863 
15 Mar 2012 00:31:00.000    -4200.355157     2929.604803    -4739.940829 
15 Mar 2012 00:32:00.000    -3895.922212     2819.078708    -5056.401109 
15 Mar 2012 00:33:00.000    -3575.080112     2696.688446    -5351.568035 
15 Mar 2012 00:34:00.000    -3239.179699     2562.949799    -5624.198611 
15 Mar 2012 00:35:00.000    -2889.635244     2418.426304    -5873.144744 
15 Mar 2012 00:36:00.000    -2527.918487     2263.726882    -6097.358078 
15 Mar 2012 00:37:00.000    -2155.552444     2099.503270    -6295.894416 
15 Mar 2012 00:38:00.000    -1774.104991     1926.447274    -6467.917686 
15 Mar 2012 00:39:00.000    -1385.182266     1745.287862    -6612.703470 
15 Mar 2012 00:40:00.000     -990.421904     1556.788083    -6729.642051 
15 Mar 2012 00:41:00.000     -591.486142     1361.741862    -6818.240980 
15 Mar 2012 00:42:00.000     -190.054818     1160.970649    -6878.127153 
15 Mar 2012 00:43:00.000      212.181699      955.319966    -6909.048379 
15 Mar 2012 00:44:00.000      613.529630      745.655841    -6910.874443 
15 Mar 2012 00:45:00.000     1012.298916      532.861163    -6883.597657 
15 Mar 2012 00:46:00.000     1406.810336      317.831966    -6827.332886 
15 Mar 2012 00:47:00.000     1795.402581      101.473651    -6742.317071 
