Sat ephemeris file created in MATLAB using delkep_wrapper.m @ 23-Jan-2017 22:16:40
sat15


      Time (UTCG)              x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
15 Mar 2012 00:00:00.000    -4471.398681    -3490.725275     4063.746757 
15 Mar 2012 00:01:00.000    -4713.213554    -3583.894480     3692.414544 
15 Mar 2012 00:02:00.000    -4935.178255    -3661.976828     3305.532954 
15 Mar 2012 00:03:00.000    -5136.358418    -3724.643018     2904.731211 
15 Mar 2012 00:04:00.000    -5315.907208    -3771.628646     2491.697157 
15 Mar 2012 00:05:00.000    -5473.068892    -3802.735324     2068.170149 
15 Mar 2012 00:06:00.000    -5607.182016    -3817.831516     1635.933729 
15 Mar 2012 00:07:00.000    -5717.682189    -3816.853092     1196.808118 
15 Mar 2012 00:08:00.000    -5804.104458    -3799.803606      752.642547 
15 Mar 2012 00:09:00.000    -5866.085268    -3766.754277      305.307472 
15 Mar 2012 00:10:00.000    -5903.363986    -3717.843697     -143.313303 
15 Mar 2012 00:11:00.000    -5915.784000    -3653.277247     -591.330563 
15 Mar 2012 00:12:00.000    -5903.293378    -3573.326232    -1036.857630 
15 Mar 2012 00:13:00.000    -5865.945082    -3478.326749    -1478.018315 
15 Mar 2012 00:14:00.000    -5803.896745    -3368.678265    -1912.954818 
15 Mar 2012 00:15:00.000    -5717.410007    -3244.841943    -2339.835547 
15 Mar 2012 00:16:00.000    -5606.849410    -3107.338701    -2756.862837 
15 Mar 2012 00:17:00.000    -5472.680862    -2956.747021    -3162.280514 
15 Mar 2012 00:18:00.000    -5315.469673    -2793.700513    -3554.381298 
15 Mar 2012 00:19:00.000    -5135.878174    -2618.885253    -3931.513986 
15 Mar 2012 00:20:00.000    -4934.662927    -2433.036894    -4292.090410 
15 Mar 2012 00:21:00.000    -4712.671536    -2236.937567    -4634.592120 
15 Mar 2012 00:22:00.000    -4470.839079    -2031.412598    -4957.576787 
15 Mar 2012 00:23:00.000    -4210.184167    -1817.327026    -5259.684265 
15 Mar 2012 00:24:00.000    -3931.804655    -1595.581965    -5539.642332 
15 Mar 2012 00:25:00.000    -3636.873016    -1367.110813    -5796.272035 
15 Mar 2012 00:26:00.000    -3326.631406    -1132.875321    -6028.492665 
15 Mar 2012 00:27:00.000    -3002.386430     -893.861545    -6235.326301 
15 Mar 2012 00:28:00.000    -2665.503640     -651.075694    -6415.901932 
15 Mar 2012 00:29:00.000    -2317.401783     -405.539896    -6569.459124 
15 Mar 2012 00:30:00.000    -1959.546828     -158.287894    -6695.351222 
15 Mar 2012 00:31:00.000    -1593.445790       89.639307    -6793.048073 
